證券代碼,名稱,數據天數,完整歷史天數,資料期間 (年),1年年化報酬率 (%),3年年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),1年夏普比率,1年年化波動率 (%),1年最大回撤 (%),1年追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%)
00927.TW,群益半導體收益,303,633,1.2,27.36,9999.0,-13.6,0.89,0.63,24.26,-29.35,12.01,0.95,25.96,-26.44,12.0,N/A,0.8,0.8
00934.TW,中信成長高股息,303,533,1.2,17.46,9999.0,-16.47,0.72,0.35,20.76,-26.87,13.67,0.64,22.51,-25.5,13.3,N/A,0.7,0.7
00936.TW,台新永續高息中小,303,528,1.2,8.27,9999.0,-19.96,0.67,0.05,20.79,-28.62,15.73,0.34,22.77,-26.58,15.51,N/A,0.75,0.75
00946.TW,群益科技高息成長,303,409,1.2,6.39,9999.0,-23.08,0.69,0.0,21.01,-24.02,15.07,0.16,22.92,-24.02,15.04,N/A,0.7,0.7
00939.TW,統一台灣高息動能,303,434,1.2,4.74,9999.0,-17.91,0.56,0.06,16.82,-19.93,14.62,0.21,18.33,-18.66,14.52,N/A,0.68,0.68
00730.TW,富邦臺灣優質高息,303,798,1.2,4.07,12.77,-23.13,0.65,-0.14,21.19,-23.52,16.96,-0.05,22.14,-23.52,16.13,N/A,0.61,0.61
00961.TW,FT臺灣永續高息,303,303,1.2,2.85,9999.0,-24.28,0.62,-0.19,18.78,-22.2,15.02,0.02,20.42,-21.11,15.12,N/A,0.78,0.78
00731.TW,復華富時高息低波,303,798,1.2,2.27,9.24,-22.19,0.47,-0.4,16.05,-21.05,17.38,0.11,16.92,-14.33,17.73,N/A,0.64,0.64
00900.TW,富邦特選高股息30,303,798,1.2,1.94,9.44,-26.38,0.65,-0.31,19.46,-28.52,14.64,-0.07,21.28,-24.93,14.76,N/A,0.58,0.58
00929.TW,復華台灣科技優息,303,630,1.2,1.64,9999.0,-25.83,0.66,-0.2,19.23,-23.47,13.84,-0.04,20.84,-22.46,13.52,N/A,0.6,0.6
00944.TW,野村趨勢動能高息,303,409,1.2,1.51,9999.0,-21.13,0.57,-0.14,17.3,-20.01,14.8,-0.05,18.92,-20.01,14.88,N/A,0.72,0.72
0056.TW,元大高股息,303,798,1.2,0.86,13.57,-26.62,0.65,-0.27,18.79,-26.62,13.91,-0.06,20.32,-23.08,13.89,N/A,0.6,0.6
00701.TW,國泰股利精選30,303,798,1.2,0.21,9.74,-14.46,0.36,-0.12,17.0,-15.08,21.43,-0.03,18.56,-13.31,22.78,N/A,0.49,0.49
00878.TW,國泰永續高股息,303,798,1.2,-1.12,10.6,-25.56,0.61,-0.27,17.82,-23.28,13.94,-0.15,19.21,-22.47,14.2,N/A,0.42,0.42
00940.TW,元大台灣價值高息,303,434,1.2,-1.69,9999.0,-25.69,0.63,-0.24,18.59,-24.74,14.34,-0.16,20.33,-23.65,14.38,N/A,0.65,0.65
00943.TW,兆豐電子高股息等權,303,402,1.2,-2.36,9999.0,-27.88,0.71,-0.24,22.18,-28.76,16.07,-0.12,24.15,-27.91,15.54,N/A,0.75,0.75
00930.TW,永豐 ESG 低碳高息,303,586,1.2,-2.37,9999.0,-27.12,0.58,-0.44,17.95,-25.67,15.28,-0.18,19.37,-22.13,15.53,N/A,0.69,0.69
00907.TW,永豐優息存股,303,798,1.2,-2.53,2.29,-22.23,0.52,-0.27,17.37,-20.62,16.92,-0.2,18.77,-20.32,17.53,N/A,0.66,0.66
00919.TW,群益台灣精選高息,303,781,1.2,-2.55,10.95,-20.58,0.58,-0.2,19.06,-23.61,16.21,-0.2,20.54,-23.61,16.48,N/A,0.59,0.59
00918.TW,大華優利高填息30,303,756,1.2,-2.58,14.32,-26.89,0.61,-0.32,19.26,-27.59,15.98,-0.15,20.57,-23.72,15.97,N/A,0.76,0.76
00713.TW,元大台灣高息低波,303,798,1.2,-5.57,9.38,-25.6,0.44,-0.67,15.91,-19.23,17.93,-0.37,17.17,-16.09,18.34,N/A,0.59,0.59
00915.TW,凱基優選高股息30,303,798,1.2,-6.6,14.85,-29.04,0.53,-0.71,17.91,-28.59,16.95,-0.4,19.33,-22.74,16.92,N/A,0.74,0.74
00932.TW,兆豐永續高息等權,282,552,1.12,-7.27,9999.0,-43.62,0.61,-0.63,21.33,-30.48,18.4,-0.27,23.28,-26.6,18.45,N/A,0.68,0.68
00702.TW,國泰標普低波高息,303,798,1.2,-7.87,1.41,-16.81,0.3,-0.51,16.0,-19.47,22.22,-0.5,17.13,-16.53,22.78,N/A,0.54,0.54
