證券代碼,名稱,數據天數,完整歷史天數,資料期間 (年),1年年化報酬率 (%),3年年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),1年夏普比率,1年年化波動率 (%),1年最大回撤 (%),1年追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%)
0052.TW,富邦台灣科技,381,793,1.51,46.91,42.23,0.8,1.08,1.29,28.65,-31.1,6.19,1.45,27.59,-30.66,6.57,N/A,0.2,N/A
00947.TW,台新臺灣 IC 設計動能,386,386,1.53,45.13,9999.0,-7.96,0.94,0.78,29.97,-37.45,17.46,1.47,31.09,-32.06,17.5,N/A,0.78,N/A
00935.TW,野村台灣創新科技 50,386,533,1.53,39.59,9999.0,-5.92,1.02,1.0,28.05,-35.06,8.89,1.3,27.61,-31.72,8.78,N/A,0.85,N/A
00941.TW,中信上游半導體,386,445,1.53,39.42,9999.0,-15.06,0.76,0.42,26.37,-32.86,18.5,1.21,27.77,-23.96,19.22,N/A,0.72,N/A
00881.TW,國泰台灣 5G+,386,798,1.53,37.86,33.34,-7.04,1.0,0.96,27.35,-36.53,8.16,1.27,27.36,-31.38,7.57,N/A,0.81,N/A
00904.TW,新光臺灣半導體,386,798,1.53,37.69,31.16,-9.91,1.01,0.82,28.2,-33.79,10.42,1.23,28.36,-28.62,10.95,N/A,0.75,N/A
00861.TW,元大全球未來通訊,386,798,1.53,30.52,28.42,0.96,0.72,0.97,24.26,-22.14,17.3,1.11,26.01,-22.14,17.69,N/A,0.76,N/A
00892.TW,富邦台灣半導體,386,798,1.53,30.07,29.0,-11.99,1.0,0.77,28.7,-34.51,12.22,0.96,28.57,-32.19,11.57,N/A,0.65,N/A
00927.TW,群益半導體收益,386,633,1.53,27.36,9999.0,-20.48,0.87,0.34,25.48,-37.83,11.98,0.95,25.96,-26.44,12.0,N/A,0.8,N/A
00893.TW,國泰全球智能電動車,386,798,1.53,24.09,39.4,-1.02,0.97,0.9,33.92,-32.54,22.78,0.81,35.26,-30.78,22.83,N/A,0.73,N/A
00895.TW,富邦未來車,386,785,1.53,21.34,45.93,-5.22,0.98,0.84,32.0,-29.98,19.22,0.69,33.08,-29.74,20.64,N/A,0.74,N/A
00891.TW,中信關鍵半導體,386,798,1.53,15.18,20.83,-24.96,0.94,0.25,27.0,-35.88,11.46,0.45,26.75,-28.36,11.51,N/A,0.67,N/A
00896.TW,中信綠能及電動車,386,798,1.53,14.44,13.66,-21.08,0.81,0.19,23.67,-35.15,11.79,0.54,24.5,-28.84,11.02,N/A,0.77,N/A
0055.TW,元大 MSCI 台灣金融,386,798,1.53,12.84,13.95,-6.27,0.5,0.57,18.68,-19.09,18.76,0.58,19.38,-17.01,18.61,N/A,0.3,N/A
00757.TW,統一FANG＋,386,778,1.53,10.18,49.7,-3.45,0.85,0.76,31.04,-30.05,22.31,0.37,32.63,-30.05,23.65,N/A,1.15,N/A
00921.TW,兆豐龍頭等權重,386,721,1.53,1.72,9999.0,-26.04,0.59,-0.36,19.31,-31.02,15.78,0.06,20.53,-22.77,13.85,N/A,0.69,N/A
00925.TW,新光標普電動車,236,517,0.94,-1.59,9999.0,-0.8,0.72,0.0,34.93,-28.36,28.78,-0.39,43.77,-27.98,30.85,N/A,0.68,N/A
