證券代碼,名稱,數據天數,完整歷史天數,資料期間 (年),1年年化報酬率 (%),3年年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),1年夏普比率,1年年化波動率 (%),1年最大回撤 (%),1年追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%),_price_data
00981A.TW,主動統一台股增長,118,118,0.47,44.88,9999,21.18,1.0,1.67,25.9,-6.93,17.97,1.67,25.9,-6.93,17.97,75,1.32,0.9,"             Open   High    Low  Close     Volume
Date                                             
2025-07-22  11.71  11.82  11.49  11.52   30873076
2025-07-23  11.62  11.67  11.53  11.55   26108768
2025-07-24  11.64  11.71  11.60  11.69   20962360
2025-07-25  11.70  11.72  11.61  11.66   13862260
2025-07-28  11.71  11.79  11.67  11.79   15270002
...           ...    ...    ...    ...        ...
2026-01-05  16.91  17.01  16.77  16.82  131759034
2026-01-06  16.83  17.15  16.83  17.15   96721514
2026-01-07  17.26  17.29  16.81  16.90  152011152
2026-01-08  16.80  17.01  16.73  16.77  102937313
2026-01-09  16.74  16.83  16.52  16.69   96715105

[118 rows x 5 columns]"
00985A.TW,主動野村台灣50,118,118,0.47,41.21,9999,22.37,0.87,2.13,18.61,-5.84,9.58,2.13,18.61,-5.84,9.58,78,0.485,1.4,"             Open   High    Low  Close    Volume
Date                                            
2025-07-22  10.06  10.15   9.93   9.95  41919841
2025-07-23   9.99  10.03   9.94   9.97  40468132
2025-07-24  10.02  10.06  10.01  10.06  10788308
2025-07-25  10.07  10.07  10.00  10.01  10992654
2025-07-28  10.07  10.10  10.03  10.08  12490338
...           ...    ...    ...    ...       ...
2026-01-05  13.82  13.93  13.78  13.88  12845320
2026-01-06  13.93  14.15  13.92  14.13   8990769
2026-01-07  14.22  14.23  14.10  14.18  11344062
2026-01-08  14.15  14.20  14.05  14.08  12516707
2026-01-09  14.04  14.15  13.87  14.05   8061000

[118 rows x 5 columns]"
0050.TW,台灣50 (Benchmark),118,118,0.47,38.18,9999,-0.85,1.01,1.96,18.67,-8.03,0.0,1.96,18.67,-8.03,0.0,N/A,N/A,N/A,"             Open   High    Low  Close     Volume
Date                                             
2025-07-22  50.90  51.30  50.45  50.55   92162175
2025-07-23  50.60  50.85  50.55  50.70   65118595
2025-07-24  51.00  51.10  50.80  51.00   80703644
2025-07-25  51.00  51.10  50.80  50.90   40414405
2025-07-28  51.20  51.40  50.90  51.05   53609331
...           ...    ...    ...    ...        ...
2026-01-05  68.10  70.05  68.05  69.50  232910010
2026-01-06  69.45  70.40  68.95  70.40  130176548
2026-01-07  70.40  70.45  69.70  69.85  122267721
2026-01-08  69.65  70.35  69.40  70.10   74866080
2026-01-09  69.80  70.25  68.90  69.85  113278257

[118 rows x 5 columns]"
00980A.TW,主動野村台灣優選,118,118,0.47,32.41,9999,5.52,0.77,1.65,18.68,-7.83,12.89,1.65,18.68,-7.83,12.89,80,0.785,1.2,"             Open   High    Low  Close    Volume
Date                                            
2025-07-22  11.79  11.87  11.60  11.60  11098533
2025-07-23  11.70  11.75  11.67  11.70   6473284
2025-07-24  11.78  11.80  11.75  11.78   5610163
2025-07-25  11.81  11.81  11.72  11.77   3454192
2025-07-28  11.82  11.88  11.80  11.86   6208520
...           ...    ...    ...    ...       ...
2026-01-05  15.50  15.52  15.37  15.39  15422092
2026-01-06  15.47  15.60  15.43  15.60  10224045
2026-01-07  15.75  15.79  15.50  15.53  11431242
2026-01-08  15.50  15.58  15.38  15.39  11314595
2026-01-09  15.36  15.44  15.21  15.36   8418784

[118 rows x 5 columns]"
00982A.TW,主動群益台灣強棒,118,118,0.47,31.22,9999,-20.62,0.99,1.18,25.22,-13.41,17.16,1.18,25.22,-13.41,17.16,70,0.835,1.1,"             Open   High    Low  Close    Volume
Date                                            
2025-07-22  11.44  11.53  11.20  11.21  29413184
2025-07-23  11.34  11.37  11.25  11.26  19047268
2025-07-24  11.33  11.39  11.32  11.39  18003184
2025-07-25  11.40  11.43  11.34  11.38  16951734
2025-07-28  11.44  11.59  11.43  11.56  20248810
...           ...    ...    ...    ...       ...
2026-01-05  14.79  14.81  14.61  14.69  53548717
2026-01-06  14.76  14.99  14.75  14.99  53969170
2026-01-07  15.19  15.21  14.91  14.95  44415240
2026-01-08  14.91  15.02  14.76  14.78  42110338
2026-01-09  14.72  14.80  14.49  14.71  36568722

[118 rows x 5 columns]"
00986A.TW,主動台新龍頭成長,92,92,0.37,17.23,9999,-17.38,0.63,0.86,18.32,-6.51,15.6,0.86,18.32,-6.51,15.6,68,0.95,1.15,"             Open   High    Low  Close    Volume
Date                                            
2025-08-27  10.03  10.05  10.02  10.04  40226939
2025-08-28  10.05  10.06  10.04  10.04  12026742
2025-08-29  10.10  10.18  10.10  10.18  11620341
2025-09-01  10.13  10.13  10.07  10.08   8201272
2025-09-02  10.10  10.11  10.07  10.07   5816926
...           ...    ...    ...    ...       ...
2026-01-05  11.57  11.66  11.57  11.64   1073983
2026-01-06  11.68  11.76  11.68  11.76    828734
2026-01-07  11.86  11.94  11.86  11.90    791724
2026-01-08  11.88  11.99  11.88  11.95    800951
2026-01-09  11.90  11.90  11.71  11.77    782248

[92 rows x 5 columns]"
00984A.TW,主動安聯台灣高息,118,118,0.47,15.75,9999,-6.06,0.42,1.2,11.9,-4.6,14.1,1.2,11.9,-4.6,14.1,85,0.74,1.3,"             Open   High    Low  Close    Volume
Date                                            
2025-07-22  10.10  10.12   9.95   9.97  10028138
2025-07-23   9.97  10.06   9.97  10.06   3686183
2025-07-24  10.09  10.11  10.07  10.10   4505638
2025-07-25  10.10  10.12  10.08  10.11   3997831
2025-07-28  10.11  10.15  10.08  10.12   6846888
...           ...    ...    ...    ...       ...
2026-01-05  11.23  11.32  11.23  11.27   8951056
2026-01-06  11.40  11.54  11.34  11.53  20561778
2026-01-07  11.65  11.68  11.59  11.65   9261844
2026-01-08  11.65  11.70  11.58  11.58  11260102
2026-01-09  11.60  11.60  11.37  11.54   6674083

[118 rows x 5 columns]"
00983A.TW,主動中信ARK創新,118,118,0.47,11.64,9999,-65.29,0.91,0.39,26.11,-16.19,19.9,0.39,26.11,-16.19,19.9,25,1.0,0.5,"             Open   High    Low  Close    Volume
Date                                            
2025-07-22  11.14  11.14  11.00  11.00  26539660
2025-07-23  10.99  10.99  10.93  10.94  13283738
2025-07-24  11.02  11.03  10.99  11.01   7142464
2025-07-25  10.93  10.97  10.92  10.94   7571532
2025-07-28  11.12  11.17  11.10  11.17  10856363
...           ...    ...    ...    ...       ...
2026-01-05  11.91  11.94  11.90  11.92   4236210
2026-01-06  12.25  12.35  12.25  12.34   8545354
2026-01-07  12.39  12.41  12.35  12.36   7015201
2026-01-08  12.36  12.38  12.33  12.33   4165918
2026-01-09  12.30  12.33  12.23  12.28   2834568

[118 rows x 5 columns]"
00991A.TW,主動復華未來50,15,15,0.06,7.87,9999,N/A,N/A,0.35,18.29,-2.53,22.26,0.35,18.29,-2.53,22.26,65,0.9,1.0,"             Open   High    Low  Close     Volume
Date                                             
2025-12-18   9.77   9.77   9.66   9.66  269922120
2025-12-19   9.82   9.88   9.81   9.84  178313240
2025-12-22   9.97  10.02   9.97  10.02  110563303
2025-12-23  10.03  10.04  10.00  10.03   80779439
2025-12-24  10.06  10.22  10.05  10.22  107815835
2025-12-26  10.31  10.39  10.30  10.35  153796077
2025-12-29  10.43  10.43  10.34  10.36   87579745
2025-12-30  10.32  10.40  10.29  10.39   74982889
2025-12-31  10.45  10.51  10.42  10.47   72101369
2026-01-02  10.50  10.51  10.35  10.42   85138268
2026-01-05  10.47  10.55  10.42  10.43   89901301
2026-01-06  10.45  10.69  10.45  10.69   65350033
2026-01-07  10.83  10.83  10.55  10.61   70343096
2026-01-08  10.58  10.68  10.51  10.54   37102296
2026-01-09  10.50  10.52  10.26  10.42   63153841"
00988A.TW,主動統一全球創新,46,46,0.18,2.94,9999,-66.24,1.11,0.05,29.18,-8.51,18.47,0.05,29.18,-8.51,18.47,50,1.05,0.6,"             Open   High    Low  Close     Volume
Date                                             
2025-11-05   9.99  10.20   9.98  10.19  107077968
2025-11-06  10.12  10.14  10.07  10.10   71159486
2025-11-07  10.00  10.01   9.96   9.97   53918702
2025-11-10  10.04  10.10  10.04  10.09   30999029
2025-11-11  10.21  10.30  10.21  10.22   42298228
2025-11-12  10.15  10.16  10.13  10.15   22906167
2025-11-13  10.14  10.16  10.13  10.14   16125207
2025-11-14   9.88   9.88   9.76   9.81   78913321
2025-11-17   9.80   9.82   9.75   9.82   32641969
2025-11-18   9.76   9.77   9.61   9.64   33426476
2025-11-19   9.56   9.59   9.52   9.54   19303475
2025-11-20   9.94   9.96   9.87   9.96   24424612
2025-11-21   9.48   9.55   9.31   9.37   61852125
2025-11-24   9.47   9.49   9.32   9.35   19713596
2025-11-25   9.61   9.64   9.57   9.62   33299113
2025-11-26   9.68   9.73   9.68   9.73   12663662
2025-11-27   9.81   9.86   9.81   9.86   11555441
2025-11-28   9.90   9.95   9.87   9.95   11595266
2025-12-01   9.95   9.95   9.85   9.85   13243320
2025-12-02   9.82   9.90   9.82   9.83    8301517
2025-12-03   9.88   9.90   9.86   9.88    8604992
2025-12-04   9.86   9.86   9.82   9.82    7516809
2025-12-05   9.91  10.00   9.89   9.99   16713488
2025-12-08  10.02  10.03   9.99  10.01   12633403
2025-12-09  10.06  10.11  10.06  10.10   21218069
2025-12-10  10.15  10.19  10.14  10.18   16300270
2025-12-11  10.21  10.28  10.10  10.15   20738517
2025-12-12  10.20  10.23  10.20  10.21   11399037
2025-12-15   9.91   9.92   9.85   9.88   39935259
2025-12-16   9.75   9.75   9.64   9.69   33299508
2025-12-17   9.67   9.68   9.65   9.66   14538764
2025-12-18   9.56   9.57   9.50   9.51   20163565
2025-12-19   9.64   9.73   9.63   9.72   11386070
2025-12-22   9.97  10.09   9.97  10.09   28729603
2025-12-23  10.11  10.15  10.10  10.12   21603968
2025-12-24  10.16  10.18  10.13  10.15   19660012
2025-12-26  10.23  10.26  10.23  10.24   27464942
2025-12-29  10.24  10.24  10.17  10.18   22526820
2025-12-30  10.12  10.13  10.07  10.12   19391637
2025-12-31  10.10  10.10  10.07  10.08   17557085
2026-01-02  10.07  10.12  10.04  10.12   17286600
2026-01-05  10.32  10.42  10.32  10.40   47647291
2026-01-06  10.39  10.48  10.39  10.48   18395668
2026-01-07  10.76  10.85  10.71  10.71   22913483
2026-01-08  10.70  10.77  10.68  10.69   11297791
2026-01-09  10.55  10.55  10.44  10.49   13648043"
