證券代碼,名稱,數據天數,完整歷史天數,資料期間 (年),1年年化報酬率 (%),3年年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),1年夏普比率,1年年化波動率 (%),1年最大回撤 (%),1年追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%),_price_data
00934.TW,中信成長高股息,589,589,2.34,16.8,12.86,-16.99,0.64,0.77,19.99,-32.03,15.06,0.77,19.99,-32.03,15.06,N/A,0.7,0.7,"             Open   High    Low  Close    Volume
Date                                            
2023-11-01  15.10  15.25  15.08  15.17  90930681
2023-11-02  15.33  15.44  15.33  15.43  37261696
2023-11-03  15.55  15.55  15.39  15.43  30232795
2023-11-06  15.52  15.68  15.52  15.66  30991163
2023-11-07  15.63  15.68  15.60  15.66  19189522
...           ...    ...    ...    ...       ...
2026-04-02  20.95  21.03  20.46  20.53  10063296
2026-04-07  20.73  20.80  20.62  20.77   2558848
2026-04-08  21.17  21.45  21.17  21.44   3516290
2026-04-09  21.50  21.52  21.40  21.52   2941571
2026-04-10  21.71  21.96  21.71  21.81   2356014

[589 rows x 5 columns]"
00915.TW,凱基優選高股息30,725,725,2.88,13.17,12.59,-6.55,0.48,0.68,17.04,-32.0,17.57,0.68,17.04,-32.0,17.57,N/A,0.74,0.74,"             Open   High    Low  Close   Volume
Date                                           
2023-04-14  16.55  16.61  16.55  16.59   813743
2023-04-17  16.56  16.61  16.56  16.59   465343
2023-04-18  16.60  16.60  16.56  16.56   327552
2023-04-19  16.58  16.66  16.58  16.59  1024654
2023-04-20  16.55  16.55  16.44  16.47   405641
...           ...    ...    ...    ...      ...
2026-04-02  23.41  23.47  23.01  23.05  3865852
2026-04-07  23.15  23.37  23.15  23.37  4484326
2026-04-08  23.52  23.79  23.52  23.79  7634539
2026-04-09  23.77  23.77  23.53  23.70  3809730
2026-04-10  23.67  23.80  23.64  23.68  5369047

[725 rows x 5 columns]"
0056.TW,元大高股息,725,725,2.88,11.6,11.1,-13.64,0.6,0.57,17.83,-32.73,14.45,0.57,17.83,-32.73,14.45,N/A,0.6,0.6,"             Open   High    Low  Close     Volume
Date                                             
2023-04-14  28.71  28.76  28.64  28.74   12394017
2023-04-17  28.74  28.82  28.72  28.80   14936886
2023-04-18  28.83  28.85  28.61  28.67   17759658
2023-04-19  28.67  28.74  28.53  28.55   12559901
2023-04-20  28.48  28.52  28.37  28.43   14012295
...           ...    ...    ...    ...        ...
2026-04-02  38.52  38.52  37.70  37.82  142688419
2026-04-07  38.08  38.18  37.92  38.07   74252034
2026-04-08  38.84  39.12  38.71  39.02   84399927
2026-04-09  39.08  39.10  38.96  39.08   38939445
2026-04-10  39.29  39.57  39.29  39.41   49996458

[725 rows x 5 columns]"
00929.TW,復華台灣科技優息,686,686,2.72,10.12,9.14,-15.16,0.61,0.46,18.6,-31.83,15.09,0.46,18.6,-31.83,15.09,N/A,0.6,0.6,"             Open   High    Low  Close     Volume
Date                                             
2023-06-09  15.03  15.61  15.03  15.39  120007200
2023-06-12  15.56  15.60  15.27  15.36   84240681
2023-06-13  15.50  15.58  15.48  15.55   30696600
2023-06-14  15.56  15.59  15.50  15.52   21445265
2023-06-15  15.59  15.67  15.57  15.63   21097495
...           ...    ...    ...    ...        ...
2026-04-02  19.14  19.21  18.69  18.73   31694918
2026-04-07  18.97  19.07  18.92  18.96   16728413
2026-04-08  19.44  19.67  19.44  19.65   47074837
2026-04-09  19.71  19.73  19.61  19.65   22527561
2026-04-10  19.71  20.10  19.70  20.01   73542262

[686 rows x 5 columns]"
00918.TW,大華優利高填息30,725,725,2.88,9.77,9.35,-13.85,0.56,0.45,18.27,-31.66,16.59,0.45,18.27,-31.66,16.59,N/A,0.76,0.76,"             Open   High    Low  Close    Volume
Date                                            
2023-04-14  17.23  17.34  17.23  17.33    163137
2023-04-17  17.37  17.42  17.35  17.40    240954
2023-04-18  17.40  17.40  17.26  17.28    402439
2023-04-19  17.32  17.41  17.30  17.31    420675
2023-04-20  17.31  17.31  17.18  17.22    264341
...           ...    ...    ...    ...       ...
2026-04-02  22.16  22.22  21.83  21.86  18362732
2026-04-07  21.96  22.09  21.95  22.06  11479729
2026-04-08  22.33  22.53  22.33  22.53  25400307
2026-04-09  22.52  22.52  22.40  22.52  13261884
2026-04-10  22.59  22.74  22.59  22.66  21645069

[725 rows x 5 columns]"
00878.TW,國泰永續高股息,725,725,2.88,9.76,9.34,-14.33,0.57,0.49,16.9,-27.58,14.6,0.49,16.9,-27.58,14.6,N/A,0.42,0.42,"             Open   High    Low  Close    Volume
Date                                            
2023-04-14  17.59  17.62  17.54  17.61  42697351
2023-04-17  17.61  17.63  17.58  17.63  40989581
2023-04-18  17.63  17.64  17.58  17.62  38243822
2023-04-19  17.62  17.71  17.60  17.61  39329569
2023-04-20  17.60  17.60  17.50  17.52  53051427
...           ...    ...    ...    ...       ...
2026-04-02  22.43  22.48  21.96  22.03  49885438
2026-04-07  22.13  22.35  22.10  22.30  48373814
2026-04-08  22.65  22.92  22.64  22.92  95761338
2026-04-09  22.92  22.93  22.79  22.90  46505273
2026-04-10  22.93  23.05  22.90  23.02  71839969

[725 rows x 5 columns]"
00713.TW,元大台灣高息低波,725,725,2.88,9.15,8.76,-7.56,0.39,0.56,13.71,-21.95,17.66,0.56,13.71,-21.95,17.66,N/A,0.59,0.59,"             Open   High    Low  Close    Volume
Date                                            
2023-04-14  40.73  40.86  40.68  40.81   7693684
2023-04-17  40.81  40.89  40.78  40.88   6130840
2023-04-18  40.88  40.90  40.65  40.72   8427506
2023-04-19  40.72  41.00  40.71  40.72   6272003
2023-04-20  40.70  40.70  40.48  40.51  10491298
...           ...    ...    ...    ...       ...
2026-04-02  51.75  51.85  51.30  51.35   5413054
2026-04-07  51.45  51.85  51.45  51.80   8291678
2026-04-08  52.25  52.45  52.10  52.30  11275485
2026-04-09  52.30  52.40  52.05  52.40  11200208
2026-04-10  52.45  52.80  52.45  52.50  10507414

[725 rows x 5 columns]"
00731.TW,復華富時高息低波,725,725,2.88,8.27,7.92,-12.56,0.49,0.42,16.05,-27.64,16.49,0.42,16.05,-27.64,16.49,N/A,0.64,0.64,"             Open   High    Low  Close   Volume
Date                                           
2023-04-14  56.80  57.15  56.80  57.05  1104139
2023-04-17  57.10  57.20  57.00  57.10  1030003
2023-04-18  57.10  57.10  56.95  57.00  1035442
2023-04-19  57.10  57.25  56.85  56.90  1206801
2023-04-20  56.75  56.85  56.70  56.85  1043358
...           ...    ...    ...    ...      ...
2026-04-02  71.00  71.10  70.50  70.75   608926
2026-04-07  70.75  71.10  70.60  71.05   611264
2026-04-08  71.40  72.20  71.40  72.20   781246
2026-04-09  71.90  71.95  71.50  71.85   625838
2026-04-10  71.85  71.95  71.70  71.70   549477

[725 rows x 5 columns]"
00936.TW,台新永續高息中小,584,584,2.32,6.27,4.81,-20.38,0.53,0.25,19.29,-41.59,18.25,0.25,19.29,-41.59,18.25,N/A,0.75,0.75,"             Open   High    Low  Close    Volume
Date                                            
2023-11-08  15.20  15.65  15.16  15.60  92977966
2023-11-09  15.44  15.58  15.32  15.33  51042849
2023-11-10  15.23  15.23  15.15  15.16  38436108
2023-11-13  15.33  15.33  15.20  15.21  17644883
2023-11-14  15.25  15.27  15.20  15.21  11069691
...           ...    ...    ...    ...       ...
2026-04-02  17.61  17.69  17.29  17.30   1144604
2026-04-07  17.48  17.57  17.48  17.49   1256492
2026-04-08  17.82  17.95  17.82  17.94   3393155
2026-04-09  17.97  18.00  17.91  17.95   1526929
2026-04-10  18.09  18.12  17.95  17.96   2835716

[584 rows x 5 columns]"
00919.TW,群益台灣精選高息,725,725,2.88,6.21,5.95,-15.65,0.55,0.26,18.03,-31.91,16.47,0.26,18.03,-31.91,16.47,N/A,0.59,0.59,"             Open   High    Low  Close     Volume
Date                                             
2023-04-14  19.11  19.30  19.11  19.28    1966915
2023-04-17  19.29  19.36  19.26  19.34    2403567
2023-04-18  19.35  19.35  19.16  19.18    3337915
2023-04-19  19.18  19.22  19.03  19.05    3590626
2023-04-20  19.01  19.04  18.90  18.90    3100317
...           ...    ...    ...    ...        ...
2026-04-02  22.67  22.69  22.24  22.30   79548861
2026-04-07  22.40  22.64  22.40  22.62   62433096
2026-04-08  22.90  23.00  22.83  23.00  100032498
2026-04-09  23.00  23.01  22.81  22.86   66620214
2026-04-10  22.96  23.00  22.90  22.93   59698408

[725 rows x 5 columns]"
