證券代碼,名稱,數據天數,完整歷史天數,資料期間 (年),1年年化報酬率 (%),3年年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),1年夏普比率,1年年化波動率 (%),1年最大回撤 (%),1年追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%),_price_data
00935.TW,野村台灣創新科技 50,549,549,2.18,47.96,32.91,-0.69,1.0,1.81,25.65,-35.06,8.78,1.81,25.65,-35.06,8.78,N/A,0.85,N/A,"             Open   High    Low  Close    Volume
Date                                            
2023-11-01  15.01  15.04  14.93  15.03  28399743
2023-11-02  15.17  15.45  15.16  15.45  16483774
2023-11-03  15.65  15.68  15.48  15.54  17250795
2023-11-06  15.68  15.82  15.66  15.76  19946839
2023-11-07  15.73  15.80  15.70  15.78  11657415
...           ...    ...    ...    ...       ...
2026-01-26  35.53  35.68  35.41  35.57  22743636
2026-01-27  35.70  36.25  35.67  36.14  15120913
2026-01-28  36.47  36.55  36.33  36.50   9460789
2026-01-29  36.61  36.64  35.99  36.05  15274003
2026-01-30  35.65  35.65  35.05  35.29  23818641

[549 rows x 5 columns]"
00895.TW,富邦未來車,730,730,2.9,45.52,43.65,12.61,0.96,1.57,28.08,-29.98,18.72,1.57,28.08,-29.98,18.72,N/A,0.74,N/A,"             Open   High    Low  Close    Volume
Date                                            
2023-02-03  14.16  14.17  14.06  14.07  10372408
2023-02-06  14.06  14.15  14.05  14.07   4096658
2023-02-07  14.17  14.21  14.17  14.21   4529492
2023-02-08  14.43  14.52  14.43  14.52   4156607
2023-02-09  14.52  14.62  14.52  14.62   4148536
...           ...    ...    ...    ...       ...
2026-01-26  41.62  41.62  41.22  41.26    773462
2026-01-27  40.85  41.27  40.85  41.27    830306
2026-01-28  41.30  41.62  41.30  41.60   1207058
2026-01-29  41.66  41.90  41.66  41.86    884320
2026-01-30  41.85  41.85  41.48  41.71    791045

[730 rows x 5 columns]"
00757.TW,統一FANG＋,708,708,2.81,43.83,40.54,16.63,0.82,1.53,27.63,-30.05,21.32,1.53,27.63,-30.05,21.32,N/A,1.15,N/A,"              Open    High     Low   Close   Volume
Date                                               
2023-02-03   41.18   41.50   41.06   41.10  2583869
2023-02-06   40.96   41.27   40.94   41.18  1552288
2023-02-07   41.15   41.27   41.05   41.21   588817
2023-02-08   42.00   42.36   41.99   42.31  1903238
2023-02-09   41.90   41.90   41.80   41.85   494737
...            ...     ...     ...     ...      ...
2026-01-26  114.15  114.15  113.55  113.80  4093285
2026-01-27  115.60  116.35  115.60  116.25  2551855
2026-01-28  116.35  117.10  116.35  116.80  4232026
2026-01-29  115.65  115.70  115.20  115.70  2440350
2026-01-30  114.30  114.30  113.40  114.10  2234452

[708 rows x 5 columns]"
0052.TW,富邦台灣科技,725,725,2.88,43.06,40.97,5.18,1.09,1.69,24.66,-31.1,6.87,1.69,24.66,-31.1,6.87,N/A,0.2,N/A,"                 Open       High        Low      Close    Volume
Date                                                            
2023-02-03  15.426896  15.491745  15.333225  15.448512    629247
2023-02-06  15.304403  15.304403  15.217937  15.217937    429584
2023-02-07  15.117061  15.217937  15.117061  15.167499    201337
2023-02-08  15.398074  15.534978  15.362046  15.498950    327219
2023-02-09  15.491745  15.498950  15.419690  15.484539    223940
...               ...        ...        ...        ...       ...
2026-01-26  42.900000  43.120000  42.820000  42.850000  45458233
2026-01-27  42.930000  43.530000  42.890000  43.420000  33800034
2026-01-28  43.820000  44.240000  43.790000  44.230000  38434828
2026-01-29  44.450000  44.490000  43.810000  43.960000  69705306
2026-01-30  43.500000  43.540000  43.100000  43.280000  76077198

[725 rows x 5 columns]"
00893.TW,國泰全球智能電動車,730,730,2.9,39.29,37.71,7.13,0.93,1.28,29.47,-32.54,21.41,1.28,29.47,-32.54,21.41,N/A,0.73,N/A,"             Open   High    Low  Close    Volume
Date                                            
2023-02-03  13.35  13.39  13.25  13.28  29350009
2023-02-06  13.25  13.33  13.22  13.25  15832465
2023-02-07  13.27  13.31  13.27  13.29  14594129
2023-02-08  13.46  13.57  13.46  13.54  27018196
2023-02-09  13.52  13.53  13.48  13.52  12566243
...           ...    ...    ...    ...       ...
2026-01-26  34.92  34.92  34.69  34.75   1729432
2026-01-27  34.58  34.63  34.51  34.62    770127
2026-01-28  34.62  34.75  34.62  34.70   1183338
2026-01-29  34.87  34.89  34.77  34.86   1731269
2026-01-30  34.79  34.80  34.50  34.68   1674262

[730 rows x 5 columns]"
00947.TW,台新臺灣 IC 設計動能,402,402,1.6,36.33,17.91,2.23,0.95,1.14,30.5,-37.45,18.51,1.14,30.5,-37.45,18.51,N/A,0.78,N/A,"             Open   High    Low  Close    Volume
Date                                            
2024-06-12  14.96  15.19  14.95  15.17  43264028
2024-06-13  15.30  15.68  15.30  15.62  35232471
2024-06-14  15.75  15.78  15.64  15.71  22447597
2024-06-17  15.80  15.84  15.71  15.79  14463435
2024-06-18  16.00  16.02  15.84  15.94  16919479
...           ...    ...    ...    ...       ...
2026-01-26  22.94  23.66  22.94  23.59  14983058
2026-01-27  23.69  24.00  23.35  23.67  14441095
2026-01-28  24.12  24.60  24.11  24.60  14557582
2026-01-29  25.18  25.18  24.40  24.77  40513530
2026-01-30  24.80  25.09  24.32  24.87  26756134

[402 rows x 5 columns]"
0050.TW,台灣50 (Benchmark),725,725,2.88,35.16,33.5,-0.05,1.0,1.53,22.03,-28.47,0.0,1.53,22.03,-28.47,0.0,N/A,N/A,N/A,"                 Open       High        Low      Close     Volume
Date                                                             
2023-02-03  30.498762  30.561802  30.309642  30.511370    9934984
2023-02-06  30.284426  30.284426  30.070090  30.070090   14297030
2023-02-07  30.032266  30.070090  29.893578  30.007050    8787291
2023-02-08  30.284426  30.498762  30.259210  30.473546    9239321
2023-02-09  30.385290  30.511370  30.334858  30.486154    5032245
...               ...        ...        ...        ...        ...
2026-01-26  72.250000  72.650000  72.200000  72.250000   87992466
2026-01-27  72.400000  73.150000  72.350000  73.050000   73059634
2026-01-28  73.550000  74.200000  73.500000  74.200000   90901846
2026-01-29  74.400000  74.500000  73.500000  73.750000  119914950
2026-01-30  73.150000  73.200000  72.300000  72.600000  175275799

[725 rows x 5 columns]"
00881.TW,國泰台灣 5G+,730,730,2.9,33.05,31.75,-1.78,1.0,1.33,23.68,-36.53,8.89,1.33,23.68,-36.53,8.89,N/A,0.81,N/A,"             Open   High    Low  Close    Volume
Date                                            
2023-02-03  14.88  14.94  14.79  14.88   9522212
2023-02-06  14.80  14.80  14.70  14.70   7310963
2023-02-07  14.61  14.71  14.61  14.66   3849494
2023-02-08  14.76  14.98  14.76  14.94  14283064
2023-02-09  14.92  14.97  14.88  14.96   6000689
...           ...    ...    ...    ...       ...
2026-01-26  34.06  34.20  34.00  34.00  21757247
2026-01-27  34.11  34.56  34.09  34.52  27633706
2026-01-28  34.83  35.01  34.76  34.98  26031670
2026-01-29  35.14  35.17  34.50  34.61  28385037
2026-01-30  34.27  34.27  33.80  34.03  33336343

[730 rows x 5 columns]"
00904.TW,新光臺灣半導體,730,730,2.9,32.95,31.66,-1.01,0.98,1.3,24.25,-33.79,11.23,1.3,24.25,-33.79,11.23,N/A,0.75,N/A,"             Open   High    Low  Close   Volume
Date                                           
2023-02-03  12.18  12.29  12.11  12.23  1401003
2023-02-06  12.22  12.22  11.95  11.95  1292210
2023-02-07  11.94  11.96  11.90  11.94   388387
2023-02-08  12.13  12.34  12.10  12.31  1458730
2023-02-09  12.27  12.33  12.21  12.28   986896
...           ...    ...    ...    ...      ...
2026-01-26  27.04  27.40  27.00  27.38  5970668
2026-01-27  27.55  27.97  27.35  27.85  6411610
2026-01-28  28.24  28.44  28.12  28.44  7698025
2026-01-29  28.60  28.65  28.02  28.21  7684506
2026-01-30  28.06  28.14  27.53  27.91  7881497

[730 rows x 5 columns]"
00861.TW,元大全球未來通訊,730,730,2.9,30.39,29.21,6.85,0.68,1.44,20.11,-22.14,15.25,1.44,20.11,-22.14,15.25,N/A,0.76,N/A,"             Open   High    Low  Close   Volume
Date                                           
2023-02-03  28.40  28.46  28.39  28.44   155181
2023-02-06  28.38  28.38  28.17  28.17   178782
2023-02-07  27.95  28.14  27.95  28.05   144147
2023-02-08  28.39  28.66  28.35  28.60  1722730
2023-02-09  28.45  28.45  28.24  28.39   843484
...           ...    ...    ...    ...      ...
2026-01-26  59.50  59.55  59.20  59.35    58428
2026-01-27  60.25  60.50  60.05  60.50   218292
2026-01-28  61.20  61.50  61.20  61.40   171447
2026-01-29  61.45  61.70  61.20  61.60    85707
2026-01-30  61.70  61.85  61.20  61.35    57764

[730 rows x 5 columns]"
00892.TW,富邦台灣半導體,730,730,2.9,29.49,28.34,-5.43,0.99,1.15,24.35,-34.51,11.16,1.15,24.35,-34.51,11.16,N/A,0.65,N/A,"             Open   High    Low  Close    Volume
Date                                            
2023-02-03  11.81  11.87  11.71  11.84   6344414
2023-02-06  11.77  11.77  11.60  11.62   4848122
2023-02-07  11.56  11.66  11.56  11.64   2897068
2023-02-08  11.80  12.08  11.80  12.03  10126315
2023-02-09  12.03  12.05  11.93  11.96   6869524
...           ...    ...    ...    ...       ...
2026-01-26  25.04  25.22  25.03  25.14   1147484
2026-01-27  25.25  25.55  25.23  25.50   1471408
2026-01-28  25.65  25.73  25.50  25.68    890355
2026-01-29  25.68  25.79  25.38  25.65   1564805
2026-01-30  25.34  25.35  24.94  25.03   1503403

[730 rows x 5 columns]"
00891.TW,中信關鍵半導體,715,715,2.84,23.1,21.72,-9.04,0.93,0.93,23.24,-35.88,11.32,0.93,23.24,-35.88,11.32,N/A,0.67,N/A,"             Open   High    Low  Close    Volume
Date                                            
2023-02-03  12.97  13.06  12.89  13.03  17966126
2023-02-06  13.00  13.00  12.74  12.75   9450319
2023-02-07  12.68  12.76  12.68  12.73   3921945
2023-02-08  12.87  13.17  12.87  13.15  19136898
2023-02-09  13.10  13.18  13.03  13.12   7047819
...           ...    ...    ...    ...       ...
2026-01-26  23.48  23.65  23.45  23.62  16016858
2026-01-27  23.79  24.06  23.66  23.97  16986650
2026-01-28  24.21  24.25  24.13  24.22  21161439
2026-01-29  24.24  24.26  23.93  24.02  18871473
2026-01-30  23.74  23.74  23.40  23.50  21909336

[715 rows x 5 columns]"
00927.TW,群益半導體收益,649,649,2.58,21.5,18.2,-10.87,0.86,0.88,22.61,-37.83,11.94,0.88,22.61,-37.83,11.94,N/A,0.8,N/A,"             Open   High    Low  Close    Volume
Date                                            
2023-06-06  15.05  15.15  15.05  15.14  30541543
2023-06-07  15.20  15.33  15.19  15.33  15729426
2023-06-08  15.33  15.33  15.13  15.17  13311544
2023-06-09  15.27  15.29  15.25  15.28   6193562
2023-06-12  15.38  15.38  15.32  15.36   5874126
...           ...    ...    ...    ...       ...
2026-01-26  25.05  25.47  24.93  25.46  23751009
2026-01-27  25.77  26.16  25.58  26.04  16818609
2026-01-28  26.38  26.39  26.13  26.21  20380148
2026-01-29  26.09  26.10  25.44  25.59  27331213
2026-01-30  25.32  25.34  24.72  25.00  19826401

[649 rows x 5 columns]"
00941.TW,中信上游半導體,461,461,1.83,18.04,10.64,-13.4,0.73,0.64,25.77,-35.05,19.26,0.64,25.77,-35.05,19.26,N/A,0.72,N/A,"             Open   High    Low  Close     Volume
Date                                             
2024-03-15  15.07  15.50  15.07  15.35  199892788
2024-03-18  15.30  15.31  15.08  15.10  100658751
2024-03-19  15.11  15.21  15.10  15.19   42977143
2024-03-20  15.20  15.25  15.15  15.15   32776210
2024-03-21  15.32  15.61  15.29  15.60   74100473
...           ...    ...    ...    ...        ...
2026-01-26  20.35  20.35  20.26  20.27    1551467
2026-01-27  20.40  20.66  20.40  20.65    3389595
2026-01-28  20.75  21.00  20.75  20.88    2356649
2026-01-29  21.03  21.05  20.97  21.02    3444491
2026-01-30  20.92  20.92  20.64  20.79    2714292

[461 rows x 5 columns]"
00896.TW,中信綠能及電動車,730,730,2.9,14.66,14.12,-11.78,0.77,0.67,19.69,-35.15,11.13,0.67,19.69,-35.15,11.13,N/A,0.77,N/A,"             Open   High    Low  Close   Volume
Date                                           
2023-02-03  14.06  14.09  13.97  14.05  1586502
2023-02-06  14.05  14.05  13.97  13.97  1488569
2023-02-07  13.93  14.00  13.93  13.97  1231821
2023-02-08  14.02  14.17  14.02  14.14  1602649
2023-02-09  14.09  14.17  14.08  14.16  1315750
...           ...    ...    ...    ...      ...
2026-01-26  21.05  21.12  21.00  21.12  2918162
2026-01-27  21.18  21.30  21.18  21.26  1786268
2026-01-28  21.30  21.50  21.30  21.49  1659110
2026-01-29  21.60  21.60  21.17  21.28  3018514
2026-01-30  21.17  21.17  20.78  20.88  3024264

[730 rows x 5 columns]"
0055.TW,元大 MSCI 台灣金融,730,730,2.9,13.12,12.64,-4.06,0.47,0.74,15.62,-19.09,16.71,0.74,15.62,-19.09,16.71,N/A,0.3,N/A,"             Open   High    Low  Close  Volume
Date                                          
2023-02-03  22.49  22.49  22.35  22.41   84914
2023-02-06  22.37  22.37  22.20  22.30  280492
2023-02-07  22.30  22.37  22.25  22.31   95034
2023-02-08  22.30  22.32  22.25  22.26  104953
2023-02-09  22.26  22.28  22.19  22.25   71072
...           ...    ...    ...    ...     ...
2026-01-26  32.05  32.43  32.01  32.38  151878
2026-01-27  32.45  32.50  32.25  32.26  105492
2026-01-28  32.26  32.30  32.12  32.14  123225
2026-01-29  32.13  32.49  32.13  32.43  174273
2026-01-30  32.44  32.44  31.98  32.03  188795

[730 rows x 5 columns]"
