證券代碼,名稱,資料期間 (年),年化報酬率 (%),Alpha,Beta,夏普比率,年化波動率 (%),最大回撤 (%),追蹤誤差 (%),換手率 (%),管理費 (%),股息殖利率 (%)
00893.TW,國泰全球智能電動車,1.48,30.48,2.3,0.98,0.84,34.34,-32.54,22.91,N/A,0.73,N/A
00935.TW,野村台灣創新科技 50,1.48,29.49,-0.12,1.03,1.0,28.06,-31.27,7.91,N/A,0.85,6.75
00881.TW,國泰台灣 5G+,1.48,28.29,-0.89,1.02,0.98,27.44,-31.67,7.11,N/A,0.81,11.24
00895.TW,富邦未來車,1.48,25.98,-2.73,1.0,0.75,32.44,-29.98,19.31,N/A,0.74,N/A
00757.TW,統一 FANG＋,1.48,25.25,-0.02,0.87,0.76,31.45,-30.05,21.94,N/A,1.15,0.4
00892.TW,富邦台灣半導體,1.48,20.53,-8.36,1.01,0.66,28.85,-33.06,12.04,N/A,0.65,6.31
00904.TW,新光臺灣半導體,1.48,19.77,-9.14,1.01,0.65,27.91,-32.37,9.55,N/A,0.75,10.6
00861.TW,元大全球未來通訊,1.48,19.65,-1.47,0.72,0.74,24.49,-22.14,17.31,N/A,0.76,N/A
0055.TW,元大 MSCI 台灣金融,1.48,19.63,4.77,0.49,1.0,18.1,-17.01,18.44,N/A,0.3,9.4
00896.TW,中信綠能及電動車,1.48,14.59,-9.47,0.83,0.56,23.25,-30.51,9.75,N/A,0.77,22.32
00947.TW,台新臺灣 IC 設計動能,1.47,13.07,-16.19,0.94,0.39,29.93,-37.45,16.89,N/A,0.78,1.34
00891.TW,中信關鍵半導體,1.48,12.76,-14.44,0.94,0.43,26.45,-31.08,9.91,N/A,0.67,20.45
00927.TW,群益半導體收益,1.48,11.02,-15.38,0.88,0.38,25.19,-32.91,10.88,N/A,0.8,15.62
00941.TW,中信上游半導體,1.47,7.2,-16.69,0.76,0.22,26.42,-32.86,18.38,N/A,0.72,N/A
00925.TW,新光標普電動車,0.95,1.64,-5.45,0.71,0.0,34.63,-28.36,28.68,N/A,0.68,N/A
00921.TW,兆豐龍頭等權重,1.48,0.48,-17.81,0.62,-0.05,19.12,-25.88,14.49,N/A,0.69,19.24
0052.TW,富邦台灣科技,1.48,-65.49,-95.62,1.05,-0.88,76.1,-86.58,70.97,N/A,0.2,3.87
